SlNo,Product,URL,Environment,TCID,TestCaseDescription,Browser,Result,Investigations,TestStartedTime,TestEndedTime,Timetakentofinish,
1,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-05-31 11:15:09 AM,2020-05-31 11:15:33 AM,00:00:24,
2,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-05-31 11:15:46 AM,2020-05-31 11:16:43 AM,00:00:57,
3,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-05-31 11:16:51 AM,2020-05-31 11:18:01 AM,00:01:10,
4,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-05-31 11:15:09 AM,2020-05-31 11:15:33 AM,00:00:24,
5,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-05-31 11:15:46 AM,2020-05-31 11:16:43 AM,00:00:57,
6,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-05-31 11:16:51 AM,2020-05-31 11:18:01 AM,00:01:10,
7,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-05-31 11:15:09 AM,2020-05-31 11:15:33 AM,00:00:24,
8,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-05-31 11:15:46 AM,2020-05-31 11:16:43 AM,00:00:57,
9,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-05-31 11:16:51 AM,2020-05-31 11:18:01 AM,00:01:10,
10,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-05-31 11:15:09 AM,2020-05-31 11:15:33 AM,00:00:24,
11,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-05-31 11:15:46 AM,2020-05-31 11:16:43 AM,00:00:57,
12,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-05-31 11:16:51 AM,2020-05-31 11:18:01 AM,00:01:10,
13,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-05-31 11:15:09 AM,2020-05-31 11:15:33 AM,00:00:24,
14,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-05-31 11:15:46 AM,2020-05-31 11:16:43 AM,00:00:57,
15,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-05-31 11:16:51 AM,2020-05-31 11:18:01 AM,00:01:10,
16,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-05-31 07:06:37 AM,2020-05-31 07:06:47 AM,00:00:10,
17,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-05-31 07:06:48 AM,2020-05-31 07:07:19 AM,00:00:31,
18,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-05-31 07:07:20 AM,2020-05-31 07:07:58 AM,00:00:38,
